	103504732
hsa-mir-875	100126309
hsa-mir-877	100126314
hsa-mir-4802	100616274
hsa-mir-4803	100616377
hsa-mir-4804	100616152
hsa-mir-874	100126343
hsa-mir-4800	100616358
hsa-mir-873	100126316
hsa-mir-4801	100616435
hsa-mir-3065	100422915
hsa-mir-3064	100616387
hsa-mir-29b-2	407025
hsa-mir-29b-1	407024
hsa-mir-521-1	574494
hsa-mir-521-2	574481
hsa-mir-103a-2"	406896
hsa-mir-376c"	442913
hsa-mir-518a-2	574491
hsa-mir-518a-1	574488
"hsa-mir-122a	406906
mir-363"	574031
hsa-mir-3074	100422842
mir-145"	406937
hsa-mir-129-2	406918
hsa-mir-129-1	406917
hsa-mir-6133	102465139
hsa-mir-6132	102466616
hsa-mir-6134	102465140
hsa-mir-6131	102465138
hsa-mir-6130	102466967
"hsa-mir-450-2	574505
hsa-mir-6126	102465134
hsa-mir-6125	102465133
hsa-mir-6128	102465135
hsa-mir-6127	102466615
hsa-mir-33a"	407039
hsa-mir-6124	102466906
hsa-mir-320c-2	100302195
hsa-mir-320c-1	100302135
hsa-mir-526b	574468
hsa-mir-6129	102465137
hsa-mir-5692a-1	100847066
hsa-mir-5692a-2	100847038
hsa-mir-550b-1	100500883
hsa-mir-550b-2	100500830
hsa-mir-20a"	406982
hsa-mir-802	768219
hsa-mir-138-1	406929
hsa-mir-138-2	406930
hsa-mir-548ag-2	100616440
hsa-mir-548ag-1	100616450
hsa-mir-5692b	100847013
hsa-mir-3688-2	100616303
hsa-mir-4673	100616242
hsa-mir-6852	102465513
hsa-mir-4674	100616301
hsa-mir-6851	102465512
hsa-mir-4675	100616383
hsa-mir-6854	102465514
hsa-mir-4676	100616286
hsa-mir-6853	102466201
hsa-mir-4670	100616351
hsa-mir-450a-1"	554214
hsa-mir-4671	100616380
hsa-mir-6850	102465978
hsa-mir-4672	100616429
hsa-mir-551a	693135
hsa-mir-551b	693136
hsa-mir-200c	406985
hsa-mir-200b	406984
hsa-mir-200a	406983
hsa-mir-7706	102465803
hsa-mir-4677	100616343
hsa-mir-6856	102465515
hsa-mir-7703	102465801
hsa-mir-4678	100616296
hsa-mir-6855	102466750
hsa-mir-7702	102465800
hsa-mir-6858	102465517
hsa-mir-7705	102466854
hsa-mir-6857	102465516
hsa-mir-7704	102465802
hsa-mir-6841	102465506
hsa-mir-4663	100616260
hsa-mir-6840	102466747
hsa-mir-4664	100616318
hsa-mir-6843	102465508
hsa-mir-4665	100616288
hsa-mir-6842	102465507
hsa-mir-4660	100616350
hsa-mir-4661	100616245
hsa-mir-128-1"	406915
hsa-mir-6849	102466749
hsa-mir-6848	102465511
hsa-mir-4666	100616308
hsa-mir-6845	102466748
hsa-mir-4667	100616214
hsa-mir-6844	102466200
hsa-mir-4668	100616114
hsa-mir-6847	102465510
hsa-mir-4669	100616236
hsa-mir-6846	102465509
hsa-mir-1184	100302111
hsa-mir-4695	100616120
hsa-mir-6874	102466203
hsa-mir-4696	100616402
hsa-mir-6873	102466754
hsa-mir-1182	100302132
hsa-mir-4697	100616119
hsa-mir-6876	102465527
hsa-mir-1183	100302122
hsa-mir-4698	100616486
hsa-mir-6875	102466755
hsa-mir-4691	100616403
hsa-mir-6870	102465525
hsa-mir-4692	100616410
hsa-mir-1295b	100847009
hsa-mir-4693	100616457
hsa-mir-6872	102465526
hsa-mir-4694	100616426
hsa-mir-6871	102466912
hsa-mir-4690	100616292
hsa-mir-1180	100302256
hsa-mir-1181	100302213
hsa-mir-128-2"	406916
hsa-mir-4699	100616133
hsa-mir-6878	102465529
hsa-mir-6877	102465528
hsa-mir-6879	102466756
hsa-mir-4684	100616391
hsa-mir-6863	102466752
hsa-mir-4685	100616482
hsa-mir-4686	100616126
hsa-mir-6865	102465522
hsa-mir-4687	100616453
hsa-mir-6864	102465521
hsa-mir-4680	100616113
hsa-mir-450a-2"	574505
hsa-mir-1178	100302274
hsa-mir-4681	100616398
hsa-mir-4682	100616322
hsa-mir-6861	102465519
hsa-mir-4683	100616500
hsa-mir-6860	102465518
hsa-mir-9-3	407051
hsa-mir-9-2	407047
hsa-mir-1233-2	100422845
mir-27b"	407019
hsa-mir-9-1	407046
hsa-mir-1179	100302235
"hsa-mir-3150	100422964
hsa-mir-4688	100616368
hsa-mir-6867	102465523
hsa-mir-4689	100616421
hsa-mir-6866	102466986
hsa-mir-6869	102465524
hsa-mir-6868	102466753
hsa-mir-2054	100302267
hsa-mir-2053	100302225
hsa-mir-6895	102465539
hsa-mir-2052	100302260
hsa-mir-6892	102465538
hsa-mir-6891	102465537
hsa-mir-365-2	100126356
hsa-mir-6894	102466759
hsa-mir-365-1	100126355
hsa-mir-6893	102466271
hsa-mir-6890	102465536
"hsa-mir-103-2	406896
"hsa-mir-103-1	406895
hsa-mir-422a	494334
hsa-mir-6089-1	102464837
hsa-mir-6885	102465533
hsa-mir-6884	102466757
hsa-mir-1193	100422837
hsa-mir-6887	102466205
hsa-mir-6886	102465534
hsa-mir-1199	102466515
hsa-mir-6881	102465530
hsa-mir-6880	102466204
hsa-mir-1197	100302250
hsa-mir-6883	102465532
hsa-mir-6882	102465531
hsa-mir-208a"	406990
hsa-mir-6889	102466758
hsa-mir-6888	102465535
hsa-mir-4255	100422898
hsa-mir-5586	100847088
hsa-mir-4256	100422976
hsa-mir-5587	100847028
hsa-mir-4257	100422997
hsa-mir-5588	100847054
hsa-mir-4258	100423020
hsa-mir-5589	100847093
hsa-mir-103a-1"	406895
hsa-mir-4251	100422968
hsa-mir-5582	100847020
hsa-mir-4252	100422975
hsa-mir-4253	100422914
hsa-mir-5100	100847014
hsa-mir-5584	100847089
hsa-mir-4254	100423028
hsa-mir-5585	100847018
hsa-mir-5580	100847076
hsa-mir-5581	100847010
hsa-mir-642b	100500845
"hsa-mir-27b	407019
hsa-mir-4259	100422852
hsa-mir-5571	100847006
hsa-mir-5572	100847042
hsa-mir-5579	100847000
"hsa-mir-124a-2	406908
"hsa-mir-124a-1	406907
"hsa-mir-3130-1	100422993
"hsa-mir-124a-3	406909
"hsa-mir-3130-2	100423002
hsa-mir-371b	100616185
hsa-mir-1255a	100302193
hsa-mir-374c	100500807
hsa-mir-374b	100126317
hsa-mir-1587	100616251
hsa-mir-4536-2	100847061
hsa-mir-6769b	102466202
hsa-mir-6769a	102466731
hsa-mir-450-1	554214
hsa-let-7f-2	406889
hsa-let-7f-1	406888
hsa-mir-6810	102466197
hsa-mir-4632	100616438
hsa-mir-7112-1"	102465906
hsa-mir-3199-1	100423034
hsa-mir-3199-2	100422998
hsa-mir-6819	102465491
hsa-mir-4637	100616271
hsa-mir-6816	102465490
hsa-mir-4638	100616342
hsa-mir-6815	102465489
hsa-mir-4639	100616269
hsa-mir-6818	102466742
hsa-mir-6817	102466198
