miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-337-5p	mir-337-5p	-1.062	0.607	-0.472	-0.714	-0.598	-1.067	0.093	-1.147	1.729	-0.256	0.346	-0.325	0.206	-0.222	1.366	0.089	1.428
hsa-mir-450a-5p	mir-450-5p	-0.395	-2.659	0.527	1.179	0.408	-0.349	-0.493	-1.014	0.585	0.621	-0.138	0.72	0.095	0.305	0.789	-0.215	0.034
hsa-mir-620	mir-1270	-1.342	-1.675	0.808	0.298	1.313	0.542	0.497	1.722	-0.835	0.334	-0.268	-0.499	0.258	0.093	-0.408	-0.39	-0.45
hsa-mir-409-3p	mir-409-3p	-1.115	0.418	-0.578	-0.64	-0.866	-0.907	-0.242	-1.707	2.339	0.047	0.441	-0.178	0.408	-0.344	1.315	0.079	1.53
hsa-mir-493-5p	mir-493-5p	-1.093	0.22	-0.337	-0.398	-0.343	-1.549	-0.883	-2.201	1.623	0.422	0.837	-0.265	0.716	-0.019	1.582	0.283	1.405
hsa-mir-421	mir-421	-0.065	-0.349	-0.086	0.049	-0.007	-0.097	0.09	-0.217	0.192	-0.05	0.526	0.244	-0.643	-0.043	0.243	0.071	0.142
hsa-mir-132-3p	mir-132-3p/212-3p	0.153	-0.506	-0.301	0.064	-0.087	0.004	0.295	0.158	0.309	-0.297	0.156	0.235	-0.252	0.064	0.014	0.052	-0.06
hsa-mir-152-3p	mir-148-3p/152-3p	0.379	0.086	-0.39	-0.659	0.307	-0.602	-0.742	-0.641	0.837	-0.442	0.688	1.002	0.037	-0.462	0.493	-0.335	0.444
hsa-mir-425-3p	mir-425-3p	0.196	-0.291	-0.545	-0.088	-0.097	-0.761	-0.23	-1.299	0.824	-0.196	0.71	0.692	0.157	0.073	0.439	-0.017	0.434
hsa-mir-93-3p	mir-93-3p	-0.351	-0.403	-0.183	0.144	0.135	-0.338	0.473	0.674	-0.099	0.079	0.005	-0.087	-0.083	-0.173	0.117	0.083	0.005
