miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-668-3p	mir-668-3p	0.098	-0.241	-0.58	-0.416	-0.233	-0.065	-0.329	-0.431	0.9	0.529	-0.564	-0.349	0.895	0.037	0.148	-0.068	0.668
hsa-mir-9-3p	mir-9-3p	-0.029	-0.049	-0.081	0.222	-0.017	-0.13	-0.332	-0.077	-0.474	-0.446	0.244	0.571	0.199	0.337	-0.136	0.657	-0.461
hsa-mir-27b-5p	mir-27b-5p	0.289	-0.187	-0.417	-0.339	0.075	-0.522	-0.256	0.181	0.098	-0.101	0.329	0.339	0.429	-0.352	0.148	-0.374	0.66
hsa-mir-34a-3p	mir-34a-3p	-0.301	1.857	-0.39	-0.643	-0.801	1.193	1.466	1.618	-0.866	-0.163	-0.588	-0.152	-0.37	-0.241	-0.867	0.194	-0.946
hsa-mir-99a-3p	mir-99-3p	-0.035	1.423	-0.309	-0.281	-0.158	0.9	1.385	2.977	-0.824	-0.41	-0.823	-0.889	-0.948	-0.129	-1.183	0.033	-0.728
hsa-mir-379-3p	mir-411-3p	-1.018	0.199	-0.377	-0.29	-0.424	-0.093	-0.717	-0.437	0.567	0.146	0.25	-0.309	0.515	0.058	0.711	0.399	0.819
hsa-mir-616-5p	mir-371b-5p/373-5p/616-5p	-0.244	-0.549	0.126	-0.131	-0.2	0.495	-0.419	0.158	0.328	0.015	0.312	0.512	0.498	-0.074	-0.27	-0.484	-0.072
hsa-mir-27a-5p	mir-27a-5p	0.596	-0.773	0.387	0.841	0.205	0.535	0.977	0.156	-0.319	0.337	-1.071	-0.486	-0.643	-0.213	-0.69	-0.02	0.181
hsa-mir-149-5p	mir-149-5p	0.201	-0.822	0.42	0.162	-0.073	0.939	-0.077	1.638	-1.249	0.803	-0.357	-0.049	-0.21	0.261	-0.923	0.092	-0.753
hsa-mir-629-3p	mir-629-3p	-0.044	0.004	0.23	0.656	-0.073	-0.135	-0.056	-0.203	0.181	-0.345	-0.036	0.321	-0.251	-0.127	-0.027	0.151	-0.247
hsa-mir-582-5p	mir-582-5p	0.634	0.256	0.242	1.973	-0.164	0.696	0.209	1.497	-1.434	0.022	-0.482	-0.443	-0.266	0	-1.192	-0.139	-1.41
hsa-mir-125b-2-3p	mir-125b-2-3p	-0.05	1.383	0.239	-0.059	0.09	1.127	1.079	2.004	-1.141	-0.249	-0.698	-0.788	-0.529	-0.204	-0.971	-0.289	-0.943
hsa-mir-365b-5p	mir-365a-5p/365b-5p	1.097	-0.278	0.396	0.359	2.619	-0.139	-0.083	0.488	-1.185	-0.074	0.073	-0.695	-0.895	0.319	-0.798	0.097	-1.301
hsa-mir-596	mir-596	0.532	0.449	0.959	0.74	0.552	0.862	0.638	1.15	-1.383	0.049	-0.54	-1.328	-0.754	-0.041	-0.64	-0.49	-0.755
hsa-mir-125a-3p	mir-125a-3p	0.043	0.12	-0.309	-0.349	-0.029	0.311	0.202	-0.119	0.558	-0.576	0.046	-0.431	-0.689	0.173	0.478	-0.186	0.757
hsa-mir-192-3p	mir-192-3p	0.262	0.819	0.53	0.197	-0.292	0.824	0.708	2.514	-1.556	0.02	-0.911	-0.837	0.068	-0.349	-1.044	-0.041	-0.912
hsa-mir-92b-5p	mir-92b-5p	0.042	0.038	0.218	-0.126	0.361	0.214	0.514	0.968	-0.457	-0.081	-0.583	-0.215	-0.101	-0.04	-0.656	0.494	-0.591
hsa-mir-95-3p	mir-95-3p	-0.108	0.397	0.494	0.652	0.644	0.828	-0.002	0.833	-1.395	0.386	-0.8	-0.445	-0.521	0.345	-0.672	0.128	-0.766
hsa-mir-515-3p	mir-33b-3p/515-3p/519e-3p	0.394	0.058	0.389	-0.15	0.33	0.539	0.109	1.149	-0.997	0.416	-0.755	-0.143	-0.389	0.442	-0.293	-0.121	-0.979
hsa-mir-1304-5p	mir-1304-5p	0.383	-0.141	0.484	-0.073	-0.288	0.272	0.27	0.747	-1.092	-0.144	-0.421	-0.005	-0.18	0.36	0.05	0.218	-0.44
hsa-mir-452-5p	mir-452-5p/892-3p	-0.366	-0.117	0.284	0.112	-0.338	-0.195	-0.309	-0.081	0.2	-0.364	0.701	0.505	-0.068	0.113	0.278	0.013	-0.368
hsa-mir-597-5p	mir-597-5p	-0.366	-0.117	0.284	0.112	-0.338	-0.195	-0.309	-0.081	0.2	-0.364	0.701	0.505	-0.068	0.113	0.278	0.013	-0.368
hsa-mir-517b-3p	mir-517-3p	0.417	0.494	0.574	-0.354	0.542	1.288	0.604	0.769	-1.094	0.025	-0.956	-0.279	-0.995	0.45	-1.04	-0.45	0.006
hsa-mir-525-5p	mir-525-5p	0.2	0.75	-0.114	-0.514	0.154	0.317	0.542	1.847	-0.34	0.774	-0.828	-0.987	-0.574	0.452	-1.342	0.29	-0.627
hsa-mir-106a-3p	mir-106a-3p	0.384	0.347	0.538	0.153	-0.169	0.155	0.163	0.567	-0.851	0.461	-0.59	-0.439	-0.048	0.432	-0.391	-0.181	-0.529
hsa-mir-449c-5p	mir-34b-5p/449c-5p	0.454	-0.004	0.221	-0.287	-0.085	0.738	0.468	1.019	-0.719	0.244	-0.654	-0.147	-0.154	0.471	-0.888	0.077	-0.754
hsa-mir-300	mir-381-3p	0.119	0.131	0.578	0.297	0.176	0.662	0.023	1.271	-0.801	0.034	-0.54	-0.278	-0.458	-0.098	-0.767	0.41	-0.76
hsa-mir-216a-5p	mir-216a-5p	0.249	0.271	0.586	-0.108	0.312	1.098	0.486	1.119	-0.843	-0.236	-0.79	-0.698	-0.326	0.432	-0.91	-0.342	-0.301
hsa-mir-455-5p	mir-455-5p	-0.31	0.927	0.29	-0.19	-0.22	0.988	1.305	4.273	-1.453	-0.594	-1.097	-0.269	-0.403	-0.12	-1.22	-0.539	-1.369
hsa-mir-202-3p	mir-202-3p	-0.22	0.383	-0.274	0.694	0.391	0.782	0.729	0.345	-0.671	-0.13	-0.668	0.121	-0.393	0.674	-0.803	0.059	-1.02
hsa-mir-610	mir-610	0.084	-0.188	-0.199	-0.548	0.878	0.608	0.015	0.95	-1.057	-0.705	0.173	0.387	0.034	0.313	-0.86	-0.179	0.294
hsa-mir-100-3p	mir-100-3p	-0.232	0.853	-0.2	-0.048	0.092	0.265	0.453	1.159	-0.88	0.193	-0.666	0.221	0.214	0.619	-0.812	-0.348	-0.883
hsa-mir-302b-3p	mir-302-3p/372-3p/373-3p/520-3p	0.28	0.448	0.318	-0.026	0.162	0.642	0.452	0.944	-0.615	0.411	-0.696	-0.592	-0.474	0.342	-0.831	-0.016	-0.749
hsa-mir-372-3p	mir-302-3p/372-3p/373-3p/520-3p	0.092	0.557	0.387	-0.255	0.162	0.632	0.339	0.892	-0.624	0.194	-0.696	-0.298	-0.179	0.391	-0.785	-0.197	-0.614
hsa-mir-208b-3p	mir-208-3p	-0.161	0.677	0.252	0.208	0.607	0.549	0.715	0.651	-1.179	0.084	-0.727	-0.586	0.013	0.257	-0.558	-0.149	-0.652
hsa-mir-609	mir-609	0.53	-0.196	-0.079	0.182	0.049	0.939	0.66	0.737	0.05	0.207	-0.623	-0.88	0.295	0.575	-1.248	-0.476	-0.722
hsa-mir-196b-3p	mir-196b-3p	0.478	0.101	-0.127	-0.114	-0.016	0.503	0.095	0.355	-0.079	-0.443	-0.167	0.066	-0.039	0.105	-0.55	0.12	-0.289
hsa-mir-378c	mir-378-3p	0.26	0.332	0.153	0.051	0.386	0.608	0.428	0.644	-0.833	0.504	-0.644	-0.257	-0.482	0.231	-0.778	0.154	-0.757
hsa-mir-10b-3p	mir-10b-3p	0.133	0.056	0.598	-0.292	0.352	0.788	0.129	0.495	-1.387	0.236	-0.659	-0.216	-0.129	0.416	-0.466	0.493	-0.548
hsa-mir-1228-3p	mir-1228-3p	-0.079	0.798	0.141	-0.285	-0.097	0.938	0.899	1.171	-0.521	-0.567	-0.951	-0.117	0.053	0.091	-0.951	0.213	-0.735
hsa-mir-135a-3p	mir-135a-3p	0.377	0.113	0.257	-0.26	0.294	0.31	0.448	1.929	0.329	0.126	-0.925	-0.701	-0.697	0.132	-0.278	-0.323	-1.129
hsa-mir-34b-3p	mir-34b-3p	1.091	-0.051	0.365	0.673	0.395	0.515	0.251	0.857	-0.964	-0.152	-0.453	-0.685	-0.184	0.202	-1.195	0.023	-0.688
hsa-mir-212-3p	mir-132-3p/212-3p	0.118	0.213	0.273	-0.118	0.036	0.333	0.119	0.429	-0.481	0.018	0.017	-0.317	-0.138	0.16	-0.317	0.175	-0.519
hsa-mir-129-5p	mir-129-5p	-0.016	0.151	0.279	-0.054	-0.098	0.928	0.315	0.62	0.141	-0.135	-0.956	0.234	-0.392	0.322	-0.635	0.054	-0.758
hsa-mir-518b	mir-518-3p	0.274	0.05	0.668	-0.326	0.233	0.847	0.667	0.517	-0.779	-0.206	-0.807	-0.928	-0.199	0.874	-0.595	-0.283	-0.009
hsa-mir-182-3p	mir-182-3p	-0.075	0.541	0.138	0.119	0.006	0.739	0.475	0.761	-0.492	0.106	-0.429	-0.174	-0.351	0.211	-1.012	0.414	-0.976
hsa-mir-449c-3p	mir-449c-3p	0.232	0.199	0.296	0.024	0.106	0.531	0.578	1.11	-0.647	0.227	-0.857	-0.247	-0.385	0.431	-0.678	-0.061	-0.859
hsa-mir-1258	mir-1258	0.322	0.084	0.33	0.1	0.212	0.508	0.46	0.977	-0.653	0.339	-0.712	-0.255	-0.366	0.348	-1.152	0.313	-0.855
hsa-mir-196a-5p	mir-196-5p	0.379	0.346	1.781	0.043	-0.227	0.417	0.145	0.865	-0.876	-0.203	-0.7	0.052	-0.324	0.693	-1.206	-0.174	-1.012
hsa-mir-642b-3p	mir-642-3p	0.211	0.078	0.325	-0.225	0.112	0.751	0.362	0.515	-0.626	-0.07	-0.677	0.178	-0.351	0.892	-0.674	-0.106	-0.695
hsa-mir-708-5p	mir-28-5p/708-5p	0.601	0.143	0.24	0.365	0.231	0.961	0.206	0.516	-0.412	-0.211	-0.448	-0.195	-0.356	0.305	-1.003	-0.058	-0.883
hsa-mir-125b-1-3p	mir-125b-1-3p	0.614	0.524	0.014	-0.193	0.009	0.694	0.222	1.36	-0.696	-0.211	-0.503	-0.478	-0.436	0.522	-0.783	-0.059	-0.6
hsa-mir-770-5p	mir-770-5p	0.326	0.366	0.497	-0.173	0.009	0.555	0.204	0.808	-0.308	-0.094	-0.474	-0.456	-0.238	0.344	-0.703	-0.157	-0.505
hsa-mir-124-5p	mir-124-5p	0.194	0.481	0.287	-0.028	0.111	0.549	0.582	0.693	-0.5	-0.038	-0.689	-0.353	-0.269	0.408	-0.68	0.01	-0.759
hsa-mir-551b-5p	mir-551b-5p	0.243	0.506	0.293	0.316	0.324	0.242	0.107	0.854	-0.838	-0.358	-0.29	-0.51	-0.364	0.488	-0.642	0.257	-0.628
hsa-mir-34b-5p	mir-34b-5p/449c-5p	0.232	0.224	0.487	0.66	0.472	0.594	0.455	0.628	-0.974	-0.226	-0.52	-0.319	-0.316	0.442	-0.993	-0.058	-0.785
hsa-mir-3186-5p	mir-3186-5p	0.443	0.261	0.297	0.107	0.123	0.577	0.514	0.705	-0.732	0.023	-0.678	-0.364	-0.345	0.332	-0.916	0.194	-0.539
hsa-mir-573	mir-573/3616-5p	0.374	0.477	0.234	0.372	0.272	0.5	0.503	0.684	-0.874	-0.125	-0.676	-0.406	-0.278	0.442	-0.893	-0.02	-0.585
hsa-mir-200c-5p	mir-200c-5p/550a-3p	0.239	0.147	0.244	0.017	0.983	0.423	0.288	0.782	-0.799	-0.034	-0.665	-0.373	-0.03	0.452	-0.905	-0.054	-0.714
