Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000130810	PPAN-P2RY11	-0.03	-0.06	-0.11	-0.49	-0.13	-0.06	-0.04	-0.04	-0.09	-0.18	0.2	0.2	0.2	0.19
ENSG00000131828	PDHA1	-0.08	-0.16	-0.33	-0.74	-0.67	-0.27	-0.01	-0.03	-0.05	-0.11	-0.36	-0.2	-0.04	0.08
ENSG00000132305	IMMT	-0.07	-0.15	-0.3	-1.1	-0.36	-0.11	0.03	0.11	0.23	0.45	0.06	0.19	0.45	0.62
ENSG00000133119	RFC3	0.01	0.01	0.02	0.19	-0.52	-0.52	-0.44	-0.06	-0.12	-0.24	-1.16	-0.79	-0.43	-0.16
ENSG00000134108	ARL8B	-0.05	-0.1	-0.2	-0.33	-0.38	-0.26	-0.22	-0.12	-0.24	-0.48	0.41	-0.04	-0.29	-0.47
ENSG00000135972	MRPS9	-0.04	-0.08	-0.15	-0.18	-0.19	-0.14	-0.09	-0.01	-0.02	-0.04	-0.54	-0.37	-0.23	-0.12
ENSG00000136026	CKAP4	-0.09	-0.17	-0.34	-1.18	-0.33	0.04	0.28	-0.11	-0.22	-0.44	0.2	0.16	-0.03	-0.16
ENSG00000136810	TXN	-0.08	-0.15	-0.3	-0.99	-0.43	-0.03	0.24	-0.08	-0.17	-0.35	-0.12	-0.3	-0.16	-0.01
ENSG00000137133	HINT2	-0.1	-0.21	-0.43	-0.28	-0.15	-0.13	-0.13	0	0	-0.01	0.54	0.46	0.38	0.31
ENSG00000137776	SLTM	0.05	0.09	0.18	0.03	-0.12	-0.01	0.11	0.05	0.1	0.21	-0.28	-0.08	-0.02	0.01
ENSG00000139641	ESYT1	-0.02	-0.03	-0.06	-0.85	-0.06	-0.1	0.16	-0.22	-0.44	-0.89	-0.32	-0.57	-0.58	-0.57
ENSG00000140374	ETFA	0.06	0.12	0.24	0.22	0.15	0.18	0.19	-0.24	-0.49	-0.98	-0.18	-0.21	-0.31	-0.39
ENSG00000141456	PELP1	0.01	0.01	0.02	0.33	0.13	0.11	0.11	0.01	0.02	0.03	0.08	0.07	-0.01	-0.07
