Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000127483	HP1BP3	0.02	0.04	0.07	0	-0.52	-0.52	-0.46	0.09	0.19	0.37	-0.46	-0.8	-0.83	-0.83
ENSG00000128422	KRT17	0.04	0.08	0.15	0.39	0.2	0.13	0.09	0.09	0.18	0.36	0.5	0.29	0.07	-0.09
ENSG00000129128	SPCS3	0.03	0.06	0.11	-0.52	0.05	0.52	0.86	-0.09	-0.18	-0.36	-0.17	-0.34	-0.19	-0.06
ENSG00000130313	PGLS	0.02	0.05	0.09	0	0	0	0	-0.04	-0.08	-0.16	-0.64	-0.69	-0.38	-0.11
ENSG00000131981	LGALS3	-0.03	-0.05	-0.1	-0.28	-0.23	-0.31	-0.39	0.09	0.17	0.34	0.17	0.25	0.44	0.6
ENSG00000132361	KIAA0664	0.16	0.33	0.65	-0.19	-0.36	-0.27	-0.19	-0.07	-0.14	-0.29	-0.84	-0.87	-0.85	-0.83
ENSG00000132382	MYBBP1A	-0.05	-0.09	-0.18	0.33	0.23	0.25	0.28	0.06	0.13	0.25	0.73	0.42	0.24	0.11
ENSG00000133112	TPT1	-0.03	-0.06	-0.13	0.1	0.13	-0.18	-0.44	0.01	0.01	0.01	0.08	0.33	0.5	0.63
ENSG00000134684	YARS	0.03	0.06	0.12	0.17	0.2	-0.06	-0.22	0.03	0.06	0.11	-0.26	-0.09	0.04	0.14
ENSG00000134851	TMEM165	-0.01	-0.01	-0.02	-0.55	-0.38	-0.13	0.05	-0.04	-0.08	-0.16	-0.59	-0.69	-1.12	-1.4
ENSG00000134910	STT3A	0.25	0.49	0.97	1.37	1.39	2.18	2.75	0.49	0.98	1.95	1.71	2.16	2.35	2.47
ENSG00000135046	ANXA1	-0.02	-0.03	-0.04	-0.14	0.16	0.19	0.2	0.01	0.02	0.04	0.22	0.3	0.45	0.56
ENSG00000136518	ACTL6A	0.06	0.13	0.27	0.14	-0.23	-0.38	-0.47	-0.02	-0.03	-0.05	-1.03	-1.14	-1.64	-2.04
ENSG00000136628	EPRS	0.01	0.01	0.03	-0.07	-0.12	-0.19	-0.23	-0.01	-0.02	-0.04	-0.34	-0.1	0.09	0.22
ENSG00000136937	NCBP1	0.1	0.21	0.43	-0.02	-0.3	-0.34	-0.37	0.08	0.17	0.33	-0.61	-0.6	-0.88	-1.1
ENSG00000138029	HADHB	0.04	0.08	0.16	0.73	0.38	0.41	0.47	0.06	0.13	0.25	0.45	0.43	0.47	0.5
ENSG00000138413	IDH1	-0.04	-0.08	-0.15	0.06	0.15	0.25	0.32	0.06	0.13	0.25	0.09	0.48	0.78	1
ENSG00000138430	OLA1	0.08	0.16	0.31	-0.41	0.05	-0.19	-0.27	0.01	0.03	0.07	-0.58	-0.41	-0.28	-0.18
ENSG00000140416	TPM1	-0.02	-0.05	-0.11	0.22	-0.4	-1.19	-1.8	-0.02	-0.04	-0.08	-0.86	-1.15	-1.52	-1.82
ENSG00000141279	NPEPPS	0.05	0.1	0.2	-0.13	-0.26	-0.47	-0.61	0.06	0.12	0.23	-0.44	-0.3	-0.18	-0.08
ENSG00000143870	PDIA6	0.04	0.09	0.18	0.23	0.6	1.06	1.42	0.05	0.1	0.2	0.8	0.92	1.1	1.23
ENSG00000144867	SRPRB	0.04	0.07	0.15	-0.02	0.27	0.79	1.2	-0.02	-0.03	-0.05	-0.01	0.49	0.66	0.78
ENSG00000145050	MANF	-0.08	-0.16	-0.32	0.01	0.69	1.34	1.83	0.14	0.27	0.54	0.1	0.99	1.26	1.39
ENSG00000145703	IQGAP2	-0.16	-0.31	-0.6	-0.81	-0.44	-0.33	-0.28	0.05	0.09	0.19	-0.87	-1.04	-1.26	-1.42
ENSG00000145741	BTF3	0.04	0.09	0.18	-0.13	-0.37	-0.28	-0.18	0.02	0.04	0.08	-0.77	-0.69	-0.58	-0.5
ENSG00000147475	ERLIN2	0.34	0.68	1.34	-0.12	1.09	1.94	2.54	0.02	0.04	0.07	0.52	0.44	0.53	0.62
ENSG00000147649	MTDH	-0.18	-0.36	-0.73	-1.5	-1.59	-0.82	-0.17	-0.16	-0.32	-0.65	-1.23	-0.91	-0.53	-0.25
ENSG00000148248	SURF4	0.24	0.48	0.92	0.48	1.78	1.87	1.79	-0.04	-0.08	-0.16	0.16	0.23	-0.04	-0.27
ENSG00000148341	SH3GLB2	-0.12	-0.24	-0.48	-0.79	-0.57	-0.33	-0.16	-0.14	-0.29	-0.56	-0.97	-0.81	-0.81	-0.83
ENSG00000149480	MTA2	-0.16	-0.33	-0.65	-0.52	-0.75	-0.92	-1.04	-0.04	-0.08	-0.15	-1.09	-1.41	-1.62	-1.75
ENSG00000151929	BAG3	0.01	0.03	0.06	0.29	0.3	0.3	0.3	0.06	0.13	0.26	-0.12	-0.57	-0.55	-0.48
ENSG00000152684	PELO	0.19	0.39	0.8	0.47	0.89	1.74	2.42	-0.16	-0.32	-0.65	-1.18	-1.04	-0.97	-0.93
ENSG00000155660	PDIA4	0.11	0.22	0.43	0.59	1.98	3.23	4.16	0.15	0.3	0.59	1.84	2.54	3.37	4
ENSG00000156508	EEF1A1	0.02	0.04	0.09	0.17	0.2	0.25	0.3	-0.01	-0.01	-0.01	0.2	0.25	0.25	0.26
ENSG00000157020	SEC13	-0.06	-0.12	-0.24	-0.1	-0.22	-0.52	-0.72	0.03	0.05	0.1	-0.17	-0.09	0.03	0.12
ENSG00000157916	RER1	-0.02	-0.04	-0.08	0.24	0.56	0.9	1.16	0.17	0.34	0.67	1	0.8	0.94	1.08
ENSG00000159228	CBR1	0.02	0.04	0.07	-0.11	-0.03	-0.07	-0.09	0.01	0.02	0.04	-0.22	-0.08	0.08	0.2
ENSG00000159231	CBR3	0.06	0.13	0.25	0.01	0.19	0.1	0.01	0.02	0.04	0.07	0.29	-0.01	0.22	0.44
ENSG00000162384	C1orf123	0.53	1.06	2.12	0.76	0.78	0.84	0.88	0.02	0.04	0.07	-0.58	-0.26	0.05	0.25
ENSG00000163938	GNL3	-0.11	-0.21	-0.42	0.37	0.18	0.11	0.07	0.13	0.27	0.54	0.01	0.54	0.49	0.44
ENSG00000164040	PGRMC2	-0.01	-0.01	-0.03	0.05	0.06	0.24	0.4	0.08	0.16	0.31	0.61	0.79	0.91	1
ENSG00000164182	NDUFAF2	0.09	0.18	0.35	0.31	-0.03	0.2	0.43	-0.05	-0.09	-0.18	-0.12	-0.12	-0.16	-0.17
ENSG00000164294	GPX8	-0.03	-0.06	-0.11	0.07	0.51	0.87	1.13	0.04	0.08	0.17	0.67	0.64	0.64	0.65
ENSG00000165280	VCP	0	-0.01	-0.03	-0.1	0.01	-0.03	-0.07	-0.03	-0.05	-0.1	-0.38	-0.39	-0.35	-0.32
ENSG00000166200	COPS2	0.13	0.27	0.55	-0.34	-0.31	-0.43	-0.54	0.03	0.05	0.11	-0.78	-0.78	-0.69	-0.65
ENSG00000166598	HSP90B1	0.06	0.12	0.23	0.36	1.1	1.95	2.59	0.02	0.04	0.08	0.99	1.46	2.01	2.42
ENSG00000166794	PPIB	0.06	0.12	0.25	0.47	0.88	1.24	1.5	0.04	0.07	0.14	0.79	0.9	1.07	1.2
ENSG00000167004	PDIA3	0.04	0.09	0.17	0.27	0.62	1.03	1.36	0.03	0.06	0.11	0.62	0.71	1.02	1.28
ENSG00000167193	CRK	0.09	0.18	0.35	0.12	-0.06	-0.14	-0.2	-0.01	-0.02	-0.04	-0.56	-0.77	-0.44	-0.15
ENSG00000167397	VKORC1	-0.2	-0.4	-0.81	-0.63	-0.14	0.27	0.56	-0.08	-0.15	-0.31	-0.48	-0.05	0.12	0.22
ENSG00000167770	OTUB1	-0.05	-0.09	-0.18	-0.38	-0.19	-0.42	-0.62	-0.11	-0.22	-0.43	-0.73	-0.25	-0.13	0.01
ENSG00000168374	ARF4	-0.12	-0.24	-0.47	-0.27	0.13	0.14	0.16	-0.01	-0.01	-0.03	-0.45	-0.24	0.06	0.3
ENSG00000169504	CLIC4	-0.02	-0.04	-0.09	-0.19	-0.33	-0.49	-0.61	-0.04	-0.08	-0.16	-0.61	-0.41	-0.42	-0.44
ENSG00000169564	PCBP1	0.01	0.03	0.05	-0.02	-0.3	-0.31	-0.32	0.02	0.03	0.06	-0.35	-0.35	-0.4	-0.43
ENSG00000170348	TMED10	0.09	0.18	0.36	0.37	0.5	0.84	1.11	0.09	0.17	0.34	-0.06	0.07	0.08	0.1
ENSG00000170421	KRT8	0.06	0.12	0.23	0.26	0.26	0.38	0.49	0.08	0.17	0.34	0.59	0.4	0.16	-0.01
ENSG00000173207	CKS1B	-0.07	-0.15	-0.29	-0.52	0.01	-0.54	-0.94	-0.09	-0.18	-0.35	-1.04	-0.64	-0.46	-0.34
ENSG00000173486	FKBP2	0.04	0.08	0.14	-0.22	0.18	0.36	0.48	-0.02	-0.04	-0.08	0.05	0.36	0.86	1.25
ENSG00000173540	GMPPB	-0.01	-0.03	-0.06	0.04	-0.12	-0.54	-0.88	0.06	0.12	0.24	-0.16	0.34	0.71	0.98
ENSG00000173812	EIF1	0.05	0.09	0.18	-0.38	-0.07	0.05	0.14	-0.17	-0.35	-0.7	-1.68	-1.26	-0.84	-0.53
ENSG00000174851	YIF1A	0.5	1	2	0.63	0.96	1.35	1.64	-0.06	-0.12	-0.24	1.04	1.27	1.14	1
ENSG00000175203	DCTN2	-0.1	-0.21	-0.41	-0.52	-0.84	-1.02	-1.15	-0.01	-0.02	-0.03	-0.83	-0.93	-1.03	-1.11
ENSG00000178307	TMEM11	0.02	0.05	0.1	0.18	-0.2	0.19	0.4	0.02	0.03	0.06	-0.1	0.1	-0.46	-0.79
ENSG00000181789	COPG1	-0.05	-0.1	-0.18	-0.04	0.01	0.19	0.35	-0.01	-0.01	-0.02	-0.63	-0.48	-0.26	-0.11
ENSG00000183010	PYCR1	0.33	0.65	1.3	0.72	1.31	2.07	2.65	-0.22	-0.45	-0.89	0.32	0.31	0.48	0.59
ENSG00000184432	COPB2	0.02	0.05	0.11	0.23	-0.16	-0.46	-0.67	-0.03	-0.06	-0.13	-0.5	-0.53	-0.27	-0.05
