miRNA_normalized_dat_mean_centered_w_fam_names_14072020.txt,miRNA_family	protein_normalized_dat_mean_centered_14072020.txt,entrezs
mir-338-3p	9989
mir-338-3p	10814
mir-338-3p	3915
mir-338-3p	388272
mir-338-3p	25758
mir-338-3p	26031
mir-338-3p	5500
mir-338-3p	642797
mir-338-3p	8019
mir-338-3p	23476
mir-338-3p	7015
mir-338-3p	54453
mir-338-3p	10946
mir-338-3p	6925
mir-338-3p	81887
mir-338-3p	55294
mir-338-3p	26224
mir-338-3p	113251
mir-338-3p	157
mir-338-3p	51091
mir-338-3p	221981
mir-338-3p	7072
mir-338-3p	29094
mir-338-3p	23112
mir-338-3p	22999
mir-338-3p	26115
mir-338-3p	85461
mir-338-3p	2245
mir-338-3p	93487
mir-338-3p	27328
mir-338-3p	5502
mir-338-3p	89801
mir-338-3p	2331
mir-338-3p	10999
mir-338-3p	55176
mir-338-3p	10655
mir-338-3p	165904
mir-338-3p	113000
mir-338-3p	50862
mir-338-3p	284996
mir-338-3p	57484
mir-338-3p	55298
mir-338-3p	55905
mir-338-3p	55161
mir-338-3p	154214
mir-338-3p	162461
mir-338-3p	10618
mir-338-3p	10818
mir-338-3p	5929
mir-338-3p	84284
mir-338-3p	2487
mir-338-3p	128553
mir-338-3p	23732
mir-338-3p	2356
mir-338-3p	55152
mir-338-3p	9836
mir-338-3p	9341
mir-338-3p	10841
mir-338-3p	663
mir-338-3p	123879
mir-338-3p	26097
mir-338-3p	28232
mir-338-3p	5316
mir-338-3p	57102
mir-338-3p	2131
mir-338-3p	8600
mir-338-3p	2113
mir-338-3p	8715
mir-338-3p	4841
mir-338-3p	84836
mir-338-3p	79710
mir-338-3p	80762
mir-338-3p	65125
mir-338-3p	65266
mir-338-3p	4745
mir-338-3p	26065
mir-338-3p	2140
mir-338-3p	51421
mir-338-3p	6867
mir-338-3p	25902
mir-338-3p	11124
mir-338-3p	10933
mir-338-3p	6635
mir-338-3p	51592
mir-338-3p	5921
mir-338-3p	375593
mir-338-3p	84964
mir-338-3p	26225
mir-338-3p	84243
mir-338-3p	257364
mir-338-3p	112574
mir-338-3p	340481
mir-338-3p	2902
mir-338-3p	80255
mir-338-3p	10591
mir-338-3p	159371
mir-338-3p	1788
mir-338-3p	64856
mir-338-3p	80835
mir-338-3p	5782
mir-338-3p	8034
mir-338-3p	10350
mir-338-3p	11194
mir-338-3p	51631
mir-338-3p	25830
mir-338-3p	25960
mir-338-3p	1277
mir-338-3p	818
mir-338-3p	815
mir-338-3p	57118
mir-338-3p	8578
mir-338-3p	4124
mir-338-3p	4774
mir-338-3p	10638
mir-338-3p	3071
mir-338-3p	3796
mir-338-3p	1952
mir-338-3p	2100
mir-338-3p	3174
mir-338-3p	2057
mir-338-3p	55326
mir-338-3p	23085
mir-338-3p	57532
mir-338-3p	3110
mir-338-3p	60685
mir-338-3p	7482
mir-338-3p	9753
mir-338-3p	10564
mir-338-3p	90523
mir-338-3p	25956
mir-338-3p	10623
mir-338-3p	11128
mir-338-3p	27303
mir-338-3p	23099
mir-338-3p	10472
mir-338-3p	26137
mir-338-3p	9880
mir-338-3p	65986
mir-338-3p	221527
mir-338-3p	7704
mir-338-3p	26030
mir-338-3p	138429
mir-338-3p	51043
mir-338-3p	387640
mir-338-3p	92399
mir-338-3p	201562
mir-338-3p	2956
mir-338-3p	23705
mir-338-3p	55167
mir-338-3p	55160
mir-338-3p	11122
mir-338-3p	1857
mir-338-3p	78987
mir-338-3p	23040
mir-338-3p	84105
mir-338-3p	64149
mir-338-3p	3163
mir-338-3p	92255
mir-338-3p	5097
mir-338-3p	284273
mir-338-3p	84267
mir-338-3p	390874
mir-338-3p	10336
mir-338-3p	50487
mir-338-3p	3181
mir-338-3p	84665
mir-338-3p	10463
mir-338-3p	22996
mir-338-3p	32
mir-338-3p	57488
mir-338-3p	134
mir-338-3p	4151
mir-338-3p	1404
mir-338-3p	552889
mir-338-3p	80028
mir-338-3p	81563
mir-338-3p	134510
mir-338-3p	55294
mir-338-3p	254170
mir-338-3p	114907
mir-338-3p	79718
mir-338-3p	23592
mir-338-3p	55585
mir-338-3p	221037
mir-338-3p	1327
mir-338-3p	9925
mir-338-3p	123811
mir-338-3p	7326
mir-338-3p	30811
mir-338-3p	26051
mir-338-3p	10614
mir-338-3p	346389
mir-338-3p	79693
mir-338-3p	9392
mir-338-3p	79065
mir-338-3p	348980
mir-338-3p	80824
mir-338-3p	27158
mir-338-3p	7348
mir-338-3p	9931
mir-338-3p	55379
mir-338-3p	2627
mir-338-3p	80381
mir-338-3p	23446
mir-338-3p	1488
mir-338-3p	84617
mir-338-3p	860
mir-338-3p	2764
mir-338-3p	5238
mir-338-3p	2766
mir-338-3p	57409
mir-338-3p	57369
mir-338-3p	11161
mir-338-3p	2820
mir-338-3p	2776
mir-338-3p	2794
mir-338-3p	51555
mir-338-3p	8531
mir-338-3p	644139
mir-338-3p	51548
mir-338-3p	23646
mir-338-3p	5337
mir-338-3p	3097
mir-338-3p	5728
mir-338-3p	10746
mir-338-3p	93986
mir-338-3p	27086
mir-338-3p	402415
mir-338-3p	79834
mir-338-3p	10097
mir-338-3p	54464
mir-338-3p	1185
mir-338-3p	10584
mir-338-3p	57538
mir-338-3p	57818
mir-338-3p	781
mir-338-3p	2969
mir-338-3p	57717
mir-338-3p	55662
mir-338-3p	2263
mir-338-3p	23270
mir-338-3p	7259
mir-338-3p	85453
mir-338-3p	905
mir-338-3p	57688
mir-338-3p	11285
mir-338-3p	352954
mir-338-3p	2637
mir-338-3p	5594
mir-338-3p	113278
mir-338-3p	5079
mir-338-3p	3200
mir-338-3p	57787
mir-338-3p	5087
mir-338-3p	246330
mir-338-3p	152503
mir-338-3p	50859
mir-338-3p	26088
mir-338-3p	2677
mir-338-3p	23098
mir-338-3p	6659
mir-338-3p	55553
mir-338-3p	6660
mir-338-3p	80031
mir-338-3p	84247
mir-338-3p	6525
mir-338-3p	64343
mir-338-3p	9900
mir-338-3p	119504
mir-338-3p	6815
mir-338-3p	3751
mir-338-3p	3739
mir-338-3p	259217
mir-338-3p	27154
mir-338-3p	57509
mir-338-3p	642489
mir-338-3p	2280
mir-338-3p	63027
mir-338-3p	57205
mir-338-3p	127833
mir-338-3p	90019
mir-338-3p	677
mir-338-3p	81544
mir-338-3p	64786
mir-338-3p	4943
mir-338-3p	63977
mir-338-3p	6427
mir-338-3p	161145
mir-338-3p	122953
mir-338-3p	4772
mir-338-3p	10000
mir-338-3p	9644
mir-338-3p	55026
mir-338-3p	317649
mir-338-3p	286205
mir-338-3p	60495
mir-338-3p	1965
mir-338-3p	7080
mir-338-3p	6421
mir-338-3p	1386
mir-338-3p	7014
mir-338-3p	6299
mir-338-3p	6812
mir-338-3p	400629
mir-338-3p	56681
mir-338-3p	4857
mir-338-3p	23235
mir-338-3p	117247
mir-338-3p	151194
mir-338-3p	90522
mir-338-3p	23659
mir-338-3p	9901
mir-338-3p	55705
mir-338-3p	2773
mir-338-3p	22895
mir-338-3p	653319
mir-338-3p	55970
mir-338-3p	10152
mir-338-3p	25962
mir-338-3p	6240
mir-338-3p	57589
mir-338-3p	54913
mir-338-3p	57535
mir-338-3p	22848
mir-338-3p	51493
mir-338-3p	131474
mir-338-3p	599
mir-338-3p	56970
mir-338-3p	222255
mir-338-3p	51230
mir-338-3p	57528
mir-338-3p	23077
mir-338-3p	388336
mir-338-3p	23431
mir-338-3p	55317
mir-338-3p	64115
mir-338-3p	85015
mir-338-3p	9958
mir-338-3p	389384
mir-338-3p	84187
mir-338-3p	3479
mir-338-3p	4306
mir-338-3p	154386
mir-338-3p	29851
mir-338-3p	23063
mir-338-3p	25805
mir-338-3p	84895
mir-338-3p	80818
mir-338-3p	6772
mir-338-3p	10735
mir-338-3p	53346
mir-338-3p	57472
mir-338-3p	51566
mir-338-3p	55300
mir-338-3p	92002
mir-338-3p	7756
mir-338-3p	26009
mir-338-3p	149478
mir-338-3p	4760
mir-338-3p	3093
mir-338-3p	23196
mir-338-3p	9827
mir-338-3p	51504
mir-338-3p	27433
mir-338-3p	5495
mir-338-3p	257019
mir-338-3p	9590
mir-338-3p	56061
mir-338-3p	200081
mir-338-3p	84775
mir-338-3p	22834
mir-338-3p	65990
mir-338-3p	23201
mir-338-3p	26049
mir-338-3p	163033
mir-501-3p/502-3p	8139
mir-501-3p/502-3p	55285
mir-501-3p/502-3p	9324
mir-501-3p/502-3p	11113
mir-501-3p/502-3p	867
mir-501-3p/502-3p	387104
mir-501-3p/502-3p	1630
mir-501-3p/502-3p	324
mir-501-3p/502-3p	8031
mir-501-3p/502-3p	196
mir-501-3p/502-3p	5937
mir-501-3p/502-3p	23705
mir-501-3p/502-3p	5792
mir-501-3p/502-3p	220164
mir-501-3p/502-3p	2890
mir-501-3p/502-3p	57720
mir-501-3p/502-3p	7812
mir-501-3p/502-3p	84301
mir-501-3p/502-3p	800
mir-501-3p/502-3p	862
mir-501-3p/502-3p	7798
mir-501-3p/502-3p	57600
mir-501-3p/502-3p	1993
mir-501-3p/502-3p	26064
mir-501-3p/502-3p	11168
mir-501-3p/502-3p	80335
mir-501-3p/502-3p	55779
mir-501-3p/502-3p	5529
mir-501-3p/502-3p	5522
mir-501-3p/502-3p	7048
mir-501-3p/502-3p	7049
mir-501-3p/502-3p	7813
mir-501-3p/502-3p	344191
mir-501-3p/502-3p	9508
mir-501-3p/502-3p	1300
mir-501-3p/502-3p	80854
mir-501-3p/502-3p	285175
mir-501-3p/502-3p	5906
mir-501-3p/502-3p	400954
mir-501-3p/502-3p	3840
mir-501-3p/502-3p	9480
mir-501-3p/502-3p	4248
mir-501-3p/502-3p	140707
mir-501-3p/502-3p	25820
mir-501-3p/502-3p	23161
mir-501-3p/502-3p	57585
mir-501-3p/502-3p	58155
mir-501-3p/502-3p	157378
mir-501-3p/502-3p	57616
mir-501-3p/502-3p	8411
mir-501-3p/502-3p	152137
mir-501-3p/502-3p	4613
mir-501-3p/502-3p	55892
mir-501-3p/502-3p	84159
mir-501-3p/502-3p	81607
mir-501-3p/502-3p	87
mir-501-3p/502-3p	130612
mir-501-3p/502-3p	23037
mir-501-3p/502-3p	23089
mir-501-3p/502-3p	9715
mir-501-3p/502-3p	286046
mir-501-3p/502-3p	8087
mir-501-3p/502-3p	285172
mir-501-3p/502-3p	9520
mir-501-3p/502-3p	25932
mir-501-3p/502-3p	55069
mir-501-3p/502-3p	4973
mir-501-3p/502-3p	57648
mir-501-3p/502-3p	7106
mir-501-3p/502-3p	108
mir-501-3p/502-3p	283358
mir-501-3p/502-3p	10768
mir-501-3p/502-3p	140890
mir-501-3p/502-3p	7905
mir-501-3p/502-3p	24147
mir-501-3p/502-3p	51555
mir-501-3p/502-3p	152006
mir-501-3p/502-3p	219287
mir-501-3p/502-3p	256643
mir-501-3p/502-3p	154810
mir-501-3p/502-3p	2201
mir-501-3p/502-3p	9781
mir-501-3p/502-3p	23099
mir-501-3p/502-3p	26137
mir-501-3p/502-3p	5717
mir-501-3p/502-3p	2551
mir-501-3p/502-3p	80853
mir-501-3p/502-3p	9334
mir-501-3p/502-3p	57168
mir-501-3p/502-3p	8622
mir-501-3p/502-3p	116068
mir-501-3p/502-3p	4009
mir-501-3p/502-3p	5140
mir-501-3p/502-3p	79872
mir-501-3p/502-3p	2104
mir-501-3p/502-3p	57446
mir-501-3p/502-3p	9808
mir-501-3p/502-3p	23362
mir-501-3p/502-3p	23435
mir-501-3p/502-3p	23224
mir-501-3p/502-3p	32
mir-501-3p/502-3p	7528
mir-501-3p/502-3p	9729
mir-501-3p/502-3p	441151
mir-501-3p/502-3p	2776
mir-501-3p/502-3p	8473
mir-501-3p/502-3p	9228
mir-501-3p/502-3p	257218
mir-501-3p/502-3p	7325
mir-501-3p/502-3p	54926
mir-501-3p/502-3p	221710
mir-501-3p/502-3p	6310
mir-501-3p/502-3p	23185
mir-501-3p/502-3p	55920
mir-501-3p/502-3p	5049
mir-501-3p/502-3p	5048
mir-501-3p/502-3p	9644
mir-501-3p/502-3p	9202
mir-501-3p/502-3p	54793
mir-501-3p/502-3p	4302
mir-501-3p/502-3p	55206
mir-501-3p/502-3p	54726
mir-501-3p/502-3p	57695
mir-501-3p/502-3p	57620
mir-501-3p/502-3p	8428
mir-501-3p/502-3p	9682
mir-501-3p/502-3p	7328
mir-501-3p/502-3p	58490
mir-501-3p/502-3p	8128
mir-501-3p/502-3p	6138
mir-501-3p/502-3p	3227
mir-501-3p/502-3p	22895
mir-501-3p/502-3p	3236
mir-501-3p/502-3p	777
mir-501-3p/502-3p	284716
mir-501-3p/502-3p	56957
mir-501-3p/502-3p	9406
mir-501-3p/502-3p	79365
mir-501-3p/502-3p	401474
mir-501-3p/502-3p	3714
mir-501-3p/502-3p	79665
mir-501-3p/502-3p	1452
mir-501-3p/502-3p	122953
mir-501-3p/502-3p	127281
mir-501-3p/502-3p	27125
mir-501-3p/502-3p	57451
mir-501-3p/502-3p	55294
mir-501-3p/502-3p	124359
mir-501-3p/502-3p	10512
mir-501-3p/502-3p	57715
mir-501-3p/502-3p	10152
mir-501-3p/502-3p	6695
mir-501-3p/502-3p	3752
mir-501-3p/502-3p	3748
mir-501-3p/502-3p	3736
mir-501-3p/502-3p	81611
mir-501-3p/502-3p	10994
mir-501-3p/502-3p	23421
mir-501-3p/502-3p	7029
mir-501-3p/502-3p	11278
mir-501-3p/502-3p	266812
mir-501-3p/502-3p	56888
mir-501-3p/502-3p	605
mir-501-3p/502-3p	27253
mir-501-3p/502-3p	221184
mir-501-3p/502-3p	85463
mir-501-3p/502-3p	60678
mir-501-3p/502-3p	151987
mir-501-3p/502-3p	200424
mir-501-3p/502-3p	1678
mir-501-3p/502-3p	5453
mir-501-3p/502-3p	6801
mir-501-3p/502-3p	6543
mir-501-3p/502-3p	9201
mir-501-3p/502-3p	23250
mir-501-3p/502-3p	84174
mir-501-3p/502-3p	27314
mir-501-3p/502-3p	9139
mir-501-3p/502-3p	6492
mir-501-3p/502-3p	11231
